temperature,dewpoint,wind_dir,wind_speed,pressure,precip_01h,precip_03h,precip_06h,precip_12h,precip_24h,snow_dept,date
24389,23007,21926,26277,11492,5686,0,658,0,682,678,1978-01-01
24832,23379,23118,26597,11278,5699,0,821,0,821,920,1978-01-02
25507,23968,22686,27225,11316,5805,0,722,0,907,889,1978-01-03
25390,23844,22417,26944,11104,5800,0,662,0,850,872,1978-01-04
25892,24377,22950,27688,11360,5769,0,784,0,853,861,1978-01-05
25857,24296,22883,28330,11683,5697,0,943,0,962,869,1978-01-06
25718,24025,23472,28206,11852,5655,0,655,0,914,854,1978-01-07
25533,23980,25058,28147,11859,5650,0,1230,0,981,1016,1978-01-08
24805,23413,24592,27085,11219,5574,0,1410,0,1047,1017,1978-01-09
25246,23698,24154,27129,11045,5699,0,952,0,962,898,1978-01-10
25786,24272,23986,27604,11435,5701,0,747,0,826,813,1978-01-11
25893,24478,23030,27844,11700,5758,0,721,0,835,873,1978-01-12
25466,24136,23805,27982,11714,5690,0,1208,0,941,1084,1978-01-13
25761,24281,24737,27996,11683,5654,0,1248,0,1087,1154,1978-01-14
25566,24056,24359,27363,11418,5705,0,1099,0,1038,1119,1978-01-15
25804,24295,24246,27747,11551,5720,0,1050,0,998,1067,1978-01-16
26108,24625,24518,28366,11721,5707,0,1321,0,1023,1129,1978-01-17
26186,24691,24717,28365,11741,5612,0,1017,0,1030,1123,1978-01-18
25909,24555,24562,28159,11729,5657,0,1114,0,912,1030,1978-01-19
26023,24643,24325,28171,11742,5623,0,1305,0,954,1246,1978-01-20
25627,24218,23168,27508,11381,5681,0,901,0,879,1114,1978-01-21
25396,23913,22667,27081,11356,5754,0,592,0,774,965,1978-01-22
25862,24375,23785,27661,11415,5768,0,539,0,711,883,1978-01-23
26247,24869,24560,28681,11829,5726,0,820,0,854,965,1978-01-24
25782,24402,24792,28870,11874,5613,0,1416,0,1007,1103,1978-01-25
25841,24421,24537,28167,11642,5646,0,1414,0,1212,1263,1978-01-26
25737,24318,23962,27570,11413,5749,0,733,0,947,1029,1978-01-27
25514,24109,23608,27261,11285,5782,0,631,0,819,995,1978-01-28
25441,23969,23220,27167,11364,5719,0,546,0,772,943,1978-01-29
25640,24136,23476,27513,11506,5717,0,539,0,715,958,1978-01-30
26202,24534,23877,28185,11635,5682,0,841,0,844,1018,1978-01-31
26118,24379,23938,28148,11682,5645,0,990,0,826,1069,1978-02-01
26043,24285,23495,27981,11746,5736,0,1077,0,888,1048,1978-02-02
25869,24187,23060,27488,11523,5814,0,573,0,786,896,1978-02-03
25686,24031,22899,27149,11460,5753,0,387,0,660,761,1978-02-04
25593,23911,23230,27111,11421,5720,0,758,0,715,895,1978-02-05
25784,24121,25135,27380,11479,5697,0,1121,0,807,1074,1978-02-06
25949,24325,25747,27812,11559,5581,0,1256,0,872,1176,1978-02-07
25983,24361,25084,27663,11564,5637,0,979,0,927,1110,1978-02-08
24137,22522,22686,25709,10670,5373,0,944,0,853,992,1978-02-09
26006,24349,23462,27547,11510,5613,0,601,0,862,925,1978-02-10
25485,23955,23126,27083,11493,5627,0,602,0,760,929,1978-02-11
25480,23963,23489,27020,11395,5594,0,814,0,738,968,1978-02-12
25862,24285,24572,27745,11634,5573,0,1022,0,899,1111,1978-02-13
25904,24293,24079,27509,11455,5614,0,755,0,936,1074,1978-02-14
25567,23961,23107,27208,11325,5621,0,604,0,692,941,1978-02-15
25563,24123,22652,27523,11348,5685,0,605,0,765,904,1978-02-16
25606,24192,22888,27618,11430,5693,0,613,0,741,896,1978-02-17
25103,23798,22544,27244,11405,5682,0,645,0,706,917,1978-02-18
25191,23730,22586,27107,11405,5675,0,530,0,738,930,1978-02-19
24697,23274,21863,26481,11322,5526,0,508,0,627,843,1978-02-20
25679,24253,22790,27604,11567,5705,0,563,0,726,799,1978-02-21
24889,23360,23200,26431,10893,5643,0,499,0,779,872,1978-02-22
25115,23562,23560,26687,11006,5723,0,502,0,753,827,1978-02-23
25407,23869,23747,27001,11087,5746,0,526,0,844,852,1978-02-24
25800,24168,23820,27312,11390,5670,0,595,0,712,808,1978-02-25
25299,23680,23059,26790,11358,5654,0,555,0,616,756,1978-02-26
25213,23687,22702,26821,11376,5635,0,472,0,605,745,1978-02-27
25703,24233,23462,27906,11638,5648,0,1003,0,781,955,1978-02-28
25086,23579,23547,27032,11111,5713,0,940,0,882,870,1978-03-01
26014,24446,25099,28055,11625,5757,0,908,0,857,881,1978-03-02
26112,24573,25320,28264,11729,5729,0,1281,0,1043,1074,1978-03-03
25369,23793,24066,26788,11140,5729,0,760,0,909,946,1978-03-04
25269,23667,22893,26420,11089,5839,0,687,0,707,747,1978-03-05
25734,24084,23028,27144,11328,5808,0,455,0,668,733,1978-03-06
25802,24226,24142,27631,11330,5849,0,778,0,766,828,1978-03-07
25937,24372,24800,27911,11649,5797,0,976,0,865,855,1978-03-08
25687,24083,23981,27614,11344,5802,0,710,0,860,802,1978-03-09
25852,24301,23611,27577,11548,5805,0,703,0,777,738,1978-03-10
25453,23923,23705,27321,11290,5750,0,522,0,711,699,1978-03-11
25228,23718,23921,27115,11327,5758,0,750,0,741,749,1978-03-12
25749,24228,24603,27890,11678,5754,0,620,0,846,737,1978-03-13
25740,24222,25345,27991,11686,5747,0,912,0,931,785,1978-03-14
25838,24271,24324,27791,11442,5836,0,616,0,961,699,1978-03-15
25577,24046,23897,27401,11531,5778,0,620,0,783,704,1978-03-16
25268,23737,23564,26865,11234,5801,0,499,0,706,665,1978-03-17
25059,23668,23296,26323,10916,5903,0,347,0,650,593,1978-03-18
