temperature,dewpoint,wind_dir,wind_speed,pressure,precip_01h,precip_03h,precip_06h,precip_12h,precip_24h,snow_dept,date
54656,52697,0,0,0,864,1151,3150,78,1842,994,1996-01-01
56254,54165,0,0,0,1185,1232,3426,71,1855,1126,1996-01-02
55872,53731,0,0,0,1146,1253,3468,59,1919,1118,1996-01-03
54231,52221,0,0,0,369,1090,3357,48,1880,1063,1996-01-04
53209,50963,0,0,0,369,1060,3170,47,1753,1168,1996-01-05
53595,51227,0,0,0,1061,1045,3255,59,1755,1149,1996-01-06
54181,51802,0,0,0,1203,1176,3487,66,1856,1276,1996-01-07
53563,51179,0,0,0,714,1000,3210,79,1988,1228,1996-01-08
61702,58741,0,0,0,670,1175,3578,42,1884,1252,1996-01-09
62507,59060,0,0,0,747,1197,3458,26,1880,1135,1996-01-10
54901,51738,0,0,0,625,1205,3502,44,1813,1077,1996-01-11
55116,52076,0,0,0,636,1140,3533,34,1940,1111,1996-01-12
54680,51742,0,0,0,787,1074,3260,63,1767,1110,1996-01-13
54347,51362,0,0,0,793,997,3301,63,1669,1088,1996-01-14
54919,51718,0,0,0,892,1065,3326,73,1789,1045,1996-01-15
55423,52397,0,0,0,602,1108,3385,81,1824,1111,1996-01-16
55369,52375,0,0,0,935,1181,3445,59,1989,1043,1996-01-17
52967,49084,0,0,0,1078,1233,3305,70,2039,1026,1996-01-18
52100,47899,0,0,0,1203,1251,3348,76,1980,1039,1996-01-19
52001,48808,0,0,0,723,1043,3036,66,1804,966,1996-01-20
52952,50554,0,0,0,649,948,3251,97,1740,891,1996-01-21
54402,51997,0,0,0,333,1074,3159,90,1792,833,1996-01-22
54322,51545,0,0,0,937,1337,3364,53,1789,880,1996-01-23
54451,51921,0,0,0,1439,1328,3524,71,2004,925,1996-01-24
54270,51370,0,0,0,626,1165,3180,72,1943,941,1996-01-25
54359,51380,0,0,0,704,1145,3247,89,1730,968,1996-01-26
55007,52403,0,0,0,1256,1270,3474,93,2001,945,1996-01-27
