temperature,dewpoint,wind_dir,wind_speed,pressure,precip_01h,precip_03h,precip_06h,precip_12h,precip_24h,snow_dept,date
3105,2874,0,0,0,4,0,309,0,1063,0,1954-01-01
3135,2892,0,0,0,4,0,317,0,1045,2,1954-01-02
3121,2900,0,0,0,4,0,326,0,1045,2,1954-01-03
3147,2889,0,0,0,4,0,369,0,1049,2,1954-01-04
3152,2927,0,0,0,4,0,392,0,1046,2,1954-01-05
3149,2960,0,0,0,4,0,401,0,1049,2,1954-01-06
3149,3016,0,0,0,4,0,429,0,1057,2,1954-01-07
3154,3030,0,0,0,4,0,339,0,1049,2,1954-01-08
3149,3011,0,0,0,4,0,276,0,1047,2,1954-01-09
3133,3014,0,0,0,4,0,219,0,1052,2,1954-01-10
3153,3068,0,0,0,4,0,244,0,1043,2,1954-01-11
3161,3050,0,0,0,4,0,325,0,1041,2,1954-01-12
3143,2997,0,0,0,4,0,394,0,1051,2,1954-01-13
3152,3000,0,0,0,4,0,391,0,1047,2,1954-01-14
3157,2883,0,0,0,4,0,287,0,1049,2,1954-01-15
3161,2878,0,0,0,4,0,306,0,1050,2,1954-01-16
3135,3005,0,0,0,4,0,322,0,1048,2,1954-01-17
3165,2990,0,0,0,4,0,295,0,1048,2,1954-01-18
3171,2941,0,0,0,4,0,240,0,1050,2,1954-01-19
3173,2720,0,0,0,4,0,313,0,1042,2,1954-01-20
3181,2686,0,0,0,4,0,327,0,1057,2,1954-01-21
3172,2784,0,0,0,4,0,306,0,1049,2,1954-01-22
3173,2919,0,0,0,4,0,263,0,1047,2,1954-01-23
3140,2797,0,0,0,4,0,299,0,1045,2,1954-01-24
3169,2839,0,0,0,4,0,318,0,1046,2,1954-01-25
3170,2995,0,0,0,4,0,354,0,1051,2,1954-01-26
3174,2916,0,0,0,4,0,362,0,1058,2,1954-01-27
3178,2959,0,0,0,4,0,280,0,1052,2,1954-01-28
3175,2986,0,0,0,4,0,261,0,1045,2,1954-01-29
3174,3066,0,0,0,4,0,254,0,1048,2,1954-01-30
394,390,0,0,0,0,0,0,0,0,0,1954-01-31
3179,3117,0,0,0,4,0,245,0,1045,2,1954-02-01
3183,3112,0,0,0,4,0,273,0,1054,2,1954-02-02
3167,3075,0,0,0,4,0,278,0,1057,2,1954-02-03
3164,3071,0,0,0,4,0,290,0,1051,2,1954-02-04
3174,3089,0,0,0,4,0,266,0,1057,2,1954-02-05
3171,3073,0,0,0,4,0,225,0,1055,2,1954-02-06
3138,3054,0,0,0,4,0,234,0,1056,2,1954-02-07
3170,3054,0,0,0,4,0,250,0,1055,2,1954-02-08
3178,3059,0,0,0,4,0,312,0,1057,2,1954-02-09
3186,3072,0,0,0,4,0,250,0,1054,2,1954-02-10
3192,3038,0,0,0,4,0,261,0,1051,2,1954-02-11
3194,3055,0,0,0,4,0,329,0,1049,2,1954-02-12
3186,2990,0,0,0,4,0,378,0,1051,2,1954-02-13
3163,2900,0,0,0,4,0,332,0,1054,2,1954-02-14
3190,2928,0,0,0,4,0,331,0,1056,2,1954-02-15
3188,2917,0,0,0,3,0,290,0,1062,2,1954-02-16
3198,2979,0,0,0,0,0,294,0,1059,2,1954-02-17
3201,2990,0,0,0,3,0,265,0,1057,2,1954-02-18
3203,2998,0,0,0,4,0,187,0,1054,2,1954-02-19
3187,3076,0,0,0,4,0,196,0,1048,2,1954-02-20
3165,3068,0,0,0,4,0,221,0,1051,2,1954-02-21
3187,3099,0,0,0,4,0,249,0,1058,2,1954-02-22
3200,3102,0,0,0,4,0,290,0,1056,2,1954-02-23
3199,3109,0,0,0,4,0,321,0,1054,2,1954-02-24
3205,3113,0,0,0,4,0,355,0,1058,2,1954-02-25
3200,3124,0,0,0,4,0,331,0,1056,2,1954-02-26
3195,3078,0,0,0,4,0,330,0,1059,2,1954-02-27
401,393,0,0,0,0,0,0,0,0,0,1954-02-28
3200,3110,0,0,0,4,0,262,0,1055,2,1954-03-01
3207,3135,0,0,0,4,0,218,0,1062,2,1954-03-02
3207,3120,0,0,0,4,0,205,0,1062,2,1954-03-03
3205,3176,0,0,0,4,0,211,0,1061,2,1954-03-04
3192,3182,0,0,0,4,0,221,0,1061,2,1954-03-05
3194,3176,0,0,0,4,0,205,0,1051,2,1954-03-06
3169,3158,0,0,0,4,0,213,0,1051,2,1954-03-07
3200,3174,0,0,0,4,0,212,0,1055,2,1954-03-08
3196,3167,0,0,0,4,0,286,0,1053,2,1954-03-09
3193,3170,0,0,0,4,0,297,0,1063,2,1954-03-10
3193,3170,0,0,0,4,0,247,0,1059,2,1954-03-11
3202,3180,0,0,0,4,0,202,0,1050,2,1954-03-12
3206,3180,0,0,0,4,0,245,0,1049,2,1954-03-13
3173,3121,0,0,0,4,0,266,0,1059,2,1954-03-14
3204,3159,0,0,0,4,0,268,0,1059,2,1954-03-15
3208,3163,0,0,0,4,0,190,0,1054,2,1954-03-16
3206,3161,0,0,0,4,0,217,0,1043,2,1954-03-17
3199,3153,0,0,0,4,0,202,0,1046,2,1954-03-18
3196,3148,0,0,0,4,0,198,0,1045,2,1954-03-19
3196,3147,0,0,0,4,0,244,0,1057,2,1954-03-20
3159,3108,0,0,0,4,0,211,0,1063,2,1954-03-21
3195,3149,0,0,0,4,0,232,0,1056,2,1954-03-22
3196,3133,0,0,0,4,0,243,0,1056,2,1954-03-23
3195,3118,0,0,0,4,0,184,0,1051,2,1954-03-24
3192,3126,0,0,0,4,0,258,0,1054,2,1954-03-25
3196,3140,0,0,0,4,0,290,0,1065,2,1954-03-26
3191,3139,0,0,0,4,0,234,0,1050,2,1954-03-27
3166,3130,0,0,0,4,0,243,0,1048,2,1954-03-28
3197,3140,0,0,0,4,0,238,0,1059,2,1954-03-29
3211,3159,0,0,0,4,0,215,0,1061,2,1954-03-30
410,404,0,0,0,0,0,0,0,0,0,1954-03-31
3208,3168,0,0,0,4,0,205,0,1048,2,1954-04-01
3208,3149,0,0,0,4,0,264,0,1095,2,1954-04-02
3195,3131,0,0,0,4,0,287,0,1097,2,1954-04-03
3166,3104,0,0,0,4,0,235,0,1096,2,1954-04-04
3194,3125,0,0,0,4,0,213,0,1090,3,1954-04-05
3197,3122,0,0,0,4,0,290,0,1095,2,1954-04-06
3204,3145,0,0,0,4,0,269,0,1106,2,1954-04-07
3199,3142,0,0,0,4,0,237,0,1099,2,1954-04-08
3204,3145,0,0,0,4,0,206,0,1099,2,1954-04-09
3200,3138,0,0,0,4,0,201,0,1091,2,1954-04-10
3169,3112,0,0,0,4,0,216,0,1104,2,1954-04-11
3196,3138,0,0,0,14,0,196,0,1100,2,1954-04-12
3211,3150,0,0,0,28,0,182,0,1090,2,1954-04-13
3210,3151,0,0,0,28,0,176,0,1098,2,1954-04-14
3210,3148,0,0,0,28,0,211,0,1094,2,1954-04-15
3200,3142,0,0,0,28,0,282,0,1096,2,1954-04-16
3202,3141,0,0,0,28,0,255,0,1104,2,1954-04-17
3176,3119,0,0,0,28,0,237,0,1097,2,1954-04-18
3198,3138,0,0,0,28,0,206,0,1094,2,1954-04-19
3202,3138,0,0,0,24,0,176,0,1092,2,1954-04-20
3193,3141,0,0,0,28,0,179,0,1098,2,1954-04-21
3197,3164,0,0,0,28,0,254,0,1094,2,1954-04-22
3194,3159,0,0,0,28,0,226,0,1096,2,1954-04-23
3197,3159,0,0,0,28,0,208,0,1098,2,1954-04-24
3176,3144,0,0,0,28,0,243,0,1096,2,1954-04-25
3207,3174,0,0,0,28,0,283,0,1103,2,1954-04-26
3205,3171,0,0,0,28,0,275,0,1100,2,1954-04-27
3206,3170,0,0,0,28,0,225,0,1102,2,1954-04-28
3205,3169,0,0,0,28,0,130,0,1095,2,1954-04-29
409,405,0,0,0,3,0,0,0,0,0,1954-04-30
3217,3184,0,0,0,28,0,121,0,1094,2,1954-05-01
