temperature,dewpoint,wind_dir,wind_speed,pressure,precip_01h,precip_03h,precip_06h,precip_12h,precip_24h,date
45612,44834,0,0,0,18208,1118,2891,13,1934,2014-01-01
45933,45019,0,0,0,19167,1692,3450,16,2216,2014-01-02
45804,45007,0,0,0,18929,1243,3238,17,2202,2014-01-03
45781,44982,0,0,0,18082,730,2416,15,1901,2014-01-04
45622,44784,0,0,0,18639,1336,2941,15,1971,2014-01-05
45287,44376,0,0,0,19017,1655,3629,16,2274,2014-01-06
45595,44824,0,0,0,18077,822,2650,14,2017,2014-01-07
45197,44475,0,0,0,18029,903,2539,18,1923,2014-01-08
45459,44803,0,0,0,18320,1193,2578,17,1113,2014-01-09
45945,45159,0,0,0,19177,1617,3446,12,2052,2014-01-10
45744,44636,0,0,0,20462,2013,3973,15,2537,2014-01-11
45680,44532,0,0,0,18732,1024,3051,12,2348,2014-01-12
45955,44880,0,0,0,18087,777,2530,14,2004,2014-01-13
45531,44665,0,0,0,19112,1509,3281,13,2252,2014-01-14
45929,45033,0,0,0,18116,972,2983,13,2228,2014-01-15
46129,45134,0,0,0,18104,1003,2845,20,2039,2014-01-16
46247,45260,0,0,0,18102,933,2718,17,2019,2014-01-17
46228,45374,0,0,0,18195,1071,2779,17,2037,2014-01-18
46092,45332,0,0,0,18153,842,2772,17,2092,2014-01-19
45807,45014,0,0,0,17884,659,2350,11,1976,2014-01-20
46106,45364,0,0,0,17822,1001,2550,15,1861,2014-01-21
46194,45402,0,0,0,18098,1030,2907,13,2090,2014-01-22
46252,45486,0,0,0,17855,954,2735,18,1960,2014-01-23
46288,45584,0,0,0,17818,832,2673,16,2002,2014-01-24
46132,45402,0,0,0,18112,1047,2804,16,2018,2014-01-25
45784,45063,0,0,0,18147,982,2810,18,2080,2014-01-26
45903,45149,0,0,0,17932,921,2757,13,2010,2014-01-27
46192,45419,0,0,0,18013,883,2624,11,1992,2014-01-28
46163,45483,0,0,0,18454,1112,2972,17,2150,2014-01-29
46150,45556,0,0,0,18173,961,2722,14,2108,2014-01-30
