temperature,dewpoint,wind_dir,wind_speed,pressure,precip_01h,precip_03h,precip_06h,precip_12h,precip_24h,snow_dept,date
37831,34826,0,0,0,5904,7,4180,1,922,925,1994-01-01
38996,35893,0,0,0,5896,8,4164,0,1094,902,1994-01-02
39409,36225,0,0,0,5850,6,4025,1,945,752,1994-01-03
39948,36698,0,0,0,5878,7,4227,1,1129,1085,1994-01-04
40575,37127,0,0,0,5913,10,4438,0,1122,1143,1994-01-05
39949,36698,0,0,0,5916,4,4354,0,1038,1160,1994-01-06
40381,37032,0,0,0,5924,4,4320,0,959,1100,1994-01-07
39718,36438,0,0,0,5903,5,4298,0,1038,1134,1994-01-08
39757,36333,0,0,0,5888,19,4240,1,969,1009,1994-01-09
37785,34536,0,0,0,5838,15,4283,0,880,903,1994-01-10
40269,36795,0,0,0,5908,12,4548,0,949,944,1994-01-11
40540,37286,0,0,0,5901,13,4588,1,1063,942,1994-01-12
39343,36110,0,0,0,5900,5,4334,1,1029,956,1994-01-13
38366,35079,0,0,0,5849,19,4308,0,1045,1102,1994-01-14
37225,33832,0,0,0,5875,11,3962,1,903,994,1994-01-15
38779,35422,0,0,0,5840,13,4175,0,864,1040,1994-01-16
38455,35302,0,0,0,5846,8,4265,1,999,1256,1994-01-17
39187,35341,0,0,0,5854,15,4233,0,1004,1210,1994-01-18
40201,36444,0,0,0,5882,28,4518,2,920,1080,1994-01-19
39653,36265,0,0,0,5859,20,4587,3,822,994,1994-01-20
40383,37252,0,0,0,5867,35,4577,1,852,956,1994-01-21
40060,36982,0,0,0,5849,35,4607,2,947,1045,1994-01-22
39291,36197,0,0,0,5816,33,4383,3,982,959,1994-01-23
39643,36597,0,0,0,5794,7,4011,0,901,1047,1994-01-24
38144,35191,0,0,0,5789,9,4495,0,975,878,1994-01-25
40372,37199,0,0,0,5820,4,3914,0,858,761,1994-01-26
40844,37625,0,0,0,5845,4,4160,0,946,956,1994-01-27
39796,36696,0,0,0,5872,8,4652,0,1170,1165,1994-01-28
40044,36921,0,0,0,5844,11,4366,2,1197,1035,1994-01-29
39770,36416,0,0,0,5861,7,4325,2,998,902,1994-01-30
39230,36064,0,0,0,5852,12,4232,0,862,890,1994-01-31
38050,35058,0,0,0,5862,25,4404,3,846,855,1994-02-01
38605,35633,0,0,0,5911,12,4128,2,852,775,1994-02-02
40848,37799,0,0,0,5955,13,4467,2,892,886,1994-02-03
40984,37901,0,0,0,5967,11,4799,2,937,924,1994-02-04
40761,37820,0,0,0,5971,14,4645,1,956,837,1994-02-05
38911,36428,0,0,0,5944,11,3904,1,813,730,1994-02-06
40628,37251,0,0,0,5953,5,4549,0,868,880,1994-02-07
41459,38150,0,0,0,5950,10,4846,0,1062,1130,1994-02-08
41465,38108,0,0,0,6007,10,4705,2,1224,1211,1994-02-09
41407,38319,0,0,0,5955,6,4773,3,1109,1079,1994-02-10
40938,37952,0,0,0,5952,4,4949,1,1091,1159,1994-02-11
40426,37381,0,0,0,5937,6,4498,0,1018,1040,1994-02-12
40181,37217,0,0,0,5907,1,4349,1,983,1016,1994-02-13
40152,37061,0,0,0,5876,14,4489,0,999,945,1994-02-14
41130,38082,0,0,0,5877,18,4753,0,936,841,1994-02-15
41205,38046,0,0,0,5918,16,4872,3,962,823,1994-02-16
40737,37584,0,0,0,5923,11,4973,1,999,838,1994-02-17
40861,37683,0,0,0,5919,13,4609,0,1074,855,1994-02-18
40694,37679,0,0,0,5934,3,4667,0,1060,830,1994-02-19
39873,36742,0,0,0,5892,1,4516,0,1002,759,1994-02-20
40579,37410,0,0,0,5967,6,4586,0,1051,743,1994-02-21
40520,37888,0,0,0,5941,3,4591,1,1048,801,1994-02-22
40768,37661,0,0,0,5928,6,4882,0,1179,1101,1994-02-23
38770,35985,0,0,0,5910,7,4268,0,1053,1120,1994-02-24
40378,37407,0,0,0,5935,5,4635,1,1129,1135,1994-02-25
39434,36239,0,0,0,5941,7,4671,1,1033,1061,1994-02-26
39810,36636,0,0,0,5962,10,4579,1,890,946,1994-02-27
39930,36585,0,0,0,5963,9,4617,1,897,888,1994-02-28
41324,38035,0,0,0,5948,7,4753,0,1050,888,1994-03-01
40338,37138,0,0,0,5941,7,4900,2,1072,837,1994-03-02
40361,37173,0,0,0,5950,8,4946,1,1036,999,1994-03-03
40794,37598,0,0,0,5948,7,4858,0,1052,880,1994-03-04
40439,37368,0,0,0,5943,4,4666,1,998,741,1994-03-05
40118,37044,0,0,0,5903,6,4813,1,1005,636,1994-03-06
40647,37580,0,0,0,5900,0,4771,2,1008,617,1994-03-07
40762,37602,0,0,0,5914,7,4702,0,1063,722,1994-03-08
40559,37518,0,0,0,5931,10,4869,3,1101,820,1994-03-09
39380,36556,0,0,0,5892,10,4125,1,874,651,1994-03-10
40317,37214,0,0,0,5901,19,4485,2,1017,609,1994-03-11
39838,36883,0,0,0,5907,10,4755,0,953,577,1994-03-12
39967,36961,0,0,0,5910,4,4678,2,1009,586,1994-03-13
40069,37095,0,0,0,5911,12,4628,2,991,591,1994-03-14
40616,37533,0,0,0,5926,16,4659,2,1002,596,1994-03-15
41148,38085,0,0,0,5917,7,4829,3,1060,631,1994-03-16
40956,37901,0,0,0,5932,3,4690,2,928,605,1994-03-17
40681,37777,0,0,0,5933,2,4845,0,1085,714,1994-03-18
40645,37747,0,0,0,5911,2,4631,1,1081,687,1994-03-19
40328,37225,0,0,0,5880,4,4580,0,962,590,1994-03-20
39993,36836,0,0,0,5889,3,4646,0,1039,532,1994-03-21
40433,37345,0,0,0,5891,0,4795,0,1079,540,1994-03-22
40729,37711,0,0,0,5901,1,4854,0,1038,580,1994-03-23
39679,36734,0,0,0,5862,0,4803,0,1054,542,1994-03-24
39864,36996,0,0,0,5891,0,4915,0,1118,528,1994-03-25
40490,37479,0,0,0,5887,7,4746,1,1062,538,1994-03-26
39156,36225,0,0,0,5902,4,4641,1,1102,651,1994-03-27
40382,37388,0,0,0,5897,6,4650,1,1132,571,1994-03-28
40341,37453,0,0,0,5931,14,5028,0,1230,473,1994-03-29
40655,37559,0,0,0,5930,10,4856,1,1046,396,1994-03-30
40735,37702,0,0,0,5922,11,4910,2,1032,333,1994-03-31
40142,37076,0,0,0,5945,13,4678,3,940,308,1994-04-01
40202,37103,0,0,0,5884,5,4636,2,837,316,1994-04-02
39989,36866,0,0,0,5904,1,4587,0,988,314,1994-04-03
36995,34686,0,0,0,5892,4,4147,1,773,255,1994-04-04
39791,36916,0,0,0,5926,3,4772,0,1036,406,1994-04-05
36765,34576,0,0,0,5927,0,3990,0,638,252,1994-04-06
37561,35245,0,0,0,5884,10,4313,1,1084,383,1994-04-07
