temperature,dewpoint,wind_dir,wind_speed,pressure,precip_01h,precip_03h,precip_06h,precip_12h,precip_24h,snow_dept,date
12076,11963,10353,12108,11497,5471,0,10,0,25,64,1950-01-01
12239,12152,11015,12274,11637,5114,0,6,0,30,58,1950-01-02
12324,12234,11571,12357,11725,5089,0,5,0,37,60,1950-01-03
12350,12253,11627,12385,11757,5045,0,3,0,31,62,1950-01-04
12339,12250,11384,12364,11746,5230,0,8,0,34,63,1950-01-05
12335,12246,11364,12370,11733,5155,0,12,0,34,62,1950-01-06
12330,12227,11277,12358,11730,5240,0,6,0,38,61,1950-01-07
12316,12215,11294,12349,11726,5416,0,7,0,37,62,1950-01-08
12368,12259,11445,12402,11773,5450,0,9,0,31,64,1950-01-09
12355,12262,11340,12391,11760,5325,0,8,0,36,61,1950-01-10
12387,12307,11470,12421,11770,5341,0,5,0,32,63,1950-01-11
12426,12350,11497,12460,11798,5408,0,14,0,34,60,1950-01-12
12430,12355,11502,12456,11756,5128,0,9,0,35,62,1950-01-13
12384,12278,11506,12389,11742,5247,0,6,0,29,61,1950-01-14
12337,12244,11139,12348,11724,5396,0,7,0,35,63,1950-01-15
12403,12316,11324,12433,11785,5412,0,6,0,38,62,1950-01-16
12397,12288,11270,12415,11784,5428,0,9,0,31,61,1950-01-17
12369,12273,11335,12398,11771,5416,0,8,0,27,62,1950-01-18
12395,12301,11031,12411,11790,5461,0,9,0,30,63,1950-01-19
12339,12244,10957,12373,11773,5500,0,7,0,30,66,1950-01-20
12389,12265,10961,12424,11816,5459,0,7,0,29,67,1950-01-21
12338,12247,10882,12375,11821,5472,0,10,0,34,63,1950-01-22
12392,12301,11134,12434,11873,5475,0,3,0,32,60,1950-01-23
12388,12298,11656,12423,11870,5404,0,7,0,35,63,1950-01-24
12420,12308,11744,12451,11885,5544,0,8,0,38,62,1950-01-25
12430,12316,11511,12470,11904,5386,0,10,0,32,66,1950-01-26
12451,12323,11304,12486,11919,5481,0,6,0,29,67,1950-01-27
12416,12320,11334,12451,11890,5451,0,3,0,27,69,1950-01-28
12347,12242,11121,12363,11828,5585,0,6,0,29,65,1950-01-29
12417,12304,11390,12451,11894,5578,0,12,0,34,60,1950-01-30
12416,12292,11196,12446,11897,5549,0,13,0,35,69,1950-01-31
12344,12200,10956,12380,11832,5498,0,10,0,38,68,1950-02-01
12333,12205,11114,12378,11840,4700,0,9,0,32,65,1950-02-02
12366,12236,11271,12402,11859,5064,0,11,0,34,68,1950-02-03
12349,12146,11013,12382,11839,5166,0,13,0,31,63,1950-02-04
12356,12128,10936,12389,11839,5365,0,4,0,35,68,1950-02-05
12380,12176,11257,12420,11872,5366,0,3,0,34,62,1950-02-06
12397,12209,11407,12430,11890,5496,0,7,0,28,61,1950-02-07
12417,12239,11340,12436,11910,5491,0,2,0,36,64,1950-02-08
12419,12233,11162,12451,11916,5373,0,5,0,37,64,1950-02-09
12409,12213,10959,12440,11894,5351,0,8,0,30,62,1950-02-10
12361,12131,11177,12397,11846,5406,0,8,0,27,61,1950-02-11
12303,12123,11216,12333,11792,5408,0,5,0,34,50,1950-02-12
12356,12169,11445,12379,11837,5293,0,1,0,34,58,1950-02-13
12420,12218,11443,12456,11902,5315,0,0,0,37,63,1950-02-14
12397,12214,11224,12433,11887,5379,0,5,0,30,64,1950-02-15
12385,12196,11083,12432,11891,5512,0,2,0,32,65,1950-02-16
12397,12223,11125,12454,11886,5608,0,0,0,33,66,1950-02-17
12365,12205,10934,12408,11868,5647,0,1,0,34,61,1950-02-18
12326,12174,11149,12358,11814,5490,0,2,0,29,64,1950-02-19
12392,12173,11270,12431,11875,5561,0,9,0,33,62,1950-02-20
12392,12227,11323,12422,11873,5466,0,4,0,36,63,1950-02-21
12312,12159,11473,12349,11808,5362,0,4,0,33,64,1950-02-22
12366,12197,11496,12404,11850,5365,0,7,0,35,61,1950-02-23
12454,12274,11371,12495,11931,5455,0,6,0,32,65,1950-02-24
12414,12224,11219,12448,11912,5558,0,4,0,36,64,1950-02-25
12426,12232,11346,12458,11915,5702,0,4,0,30,65,1950-02-26
12432,12256,11655,12476,11927,5801,0,7,0,29,62,1950-02-27
12435,12275,11332,12486,11926,5692,0,3,0,34,62,1950-02-28
12401,12241,11658,12442,11864,5510,0,6,0,28,61,1950-03-01
12380,12216,11766,12423,11853,5154,0,8,0,28,62,1950-03-02
12413,12239,11504,12455,11883,5153,0,5,0,32,60,1950-03-03
12358,12222,10999,12392,11834,5212,0,6,0,35,61,1950-03-04
12329,12197,11053,12348,11816,5253,0,9,0,35,60,1950-03-05
12354,12219,11418,12393,11830,5449,0,2,0,34,61,1950-03-06
12406,12276,11541,12437,11874,5378,0,1,0,37,62,1950-03-07
12385,12262,11509,12425,11850,5317,0,2,0,39,58,1950-03-08
12391,12306,11675,12427,11865,5428,0,0,0,38,60,1950-03-09
12374,12275,11526,12411,11849,5471,0,1,0,39,59,1950-03-10
12396,12294,11636,12436,11871,5352,0,4,0,35,63,1950-03-11
12326,12227,11521,12363,11810,5426,0,8,0,37,61,1950-03-12
12376,12277,11553,12414,11843,5307,0,8,0,35,61,1950-03-13
12391,12316,11433,12428,11848,5512,0,4,0,26,62,1950-03-14
12394,12314,11341,12428,11856,5467,0,3,0,32,61,1950-03-15
12369,12285,11362,12406,11833,5408,0,3,0,34,61,1950-03-16
12357,12285,11476,12396,11835,5387,0,5,0,33,59,1950-03-17
12313,12239,11651,12348,11799,5522,0,6,0,34,59,1950-03-18
12294,12219,11595,12336,11791,5419,0,5,0,25,61,1950-03-19
12356,12280,11468,12397,11827,5562,0,3,0,29,60,1950-03-20
12365,12295,11163,12403,11825,5531,0,4,0,35,62,1950-03-21
12363,12285,11307,12400,11837,5405,0,6,0,37,60,1950-03-22
12358,12279,11544,12393,11851,5560,0,1,0,33,60,1950-03-23
12300,12224,11452,12330,11796,5655,0,5,0,35,59,1950-03-24
12291,12213,11417,12324,11791,5813,0,4,0,30,56,1950-03-25
12271,12181,11483,12308,11773,5621,0,4,0,38,57,1950-03-26
12346,12262,11658,12381,11833,5525,0,5,0,32,57,1950-03-27
12344,12262,11754,12381,11845,5589,0,5,0,34,55,1950-03-28
12338,12248,11463,12369,11830,5864,0,4,0,30,53,1950-03-29
12328,12251,11332,12369,11823,5884,0,5,0,36,59,1950-03-30
12312,12238,11315,12348,11803,5822,0,4,0,36,59,1950-03-31
12242,12168,11293,12279,11759,5541,0,1,0,32,61,1950-04-01
12253,12176,11508,12292,11736,5196,0,2,0,34,59,1950-04-02
12354,12272,11673,12386,11819,5215,0,4,0,34,61,1950-04-03
12328,12230,11586,12366,11799,5297,0,4,0,34,61,1950-04-04
12334,12233,11788,12371,11806,5439,0,3,0,32,61,1950-04-05
12319,12216,11706,12356,11785,5630,0,5,0,33,62,1950-04-06
12322,12239,11569,12354,11783,5678,0,2,0,34,63,1950-04-07
12270,12195,11362,12302,11749,5619,0,2,0,26,63,1950-04-08
12238,12161,11554,12275,11721,5732,0,4,0,27,64,1950-04-09
12292,12216,11583,12324,11764,5699,0,5,0,35,62,1950-04-10
12348,12255,11465,12384,11821,5684,0,5,0,32,61,1950-04-11
12338,12263,11426,12372,11803,5763,0,7,0,27,63,1950-04-12
12347,12269,11548,12380,11808,5625,0,5,0,32,61,1950-04-13
12284,12191,11442,12316,11757,5667,0,2,0,34,60,1950-04-14
12274,12164,11588,12311,11765,5757,0,2,0,36,58,1950-04-15
12263,12165,11122,12298,11753,5717,0,11,0,34,56,1950-04-16
12320,12221,11088,12347,11798,5660,0,3,0,36,56,1950-04-17
12301,12197,11439,12331,11776,5796,0,0,0,37,56,1950-04-18
12336,12242,11121,12369,11789,5815,0,6,0,30,57,1950-04-19
